bd_id,da_out,da_act
AVE048XZ3007A,0.00,0.00
ABU200N74006A,0.00,0.00
ABU008Y62005A,18.72,0.00
ABU008YM2008A,0.00,0.00
ABU024MA6008A,0.00,0.00
AOK016D53002A,33.50,1.22
ENG,0.00,0.00
,0.00,0.00
AAW016D53019A,0.00,0.00
AAW024MA6008A,0.00,0.00
AAW024XJ6011B,15.86,0.00
,0.00,0.00
ANV319UK1001A,0.00,0.00
ANV0086A1055A,0.00,0.00
ANV345XTB016A,0.00,0.00
ANV0086A1061A,0.00,0.00
ANV0086A1070A,0.00,0.00
ANV0086A1106A,0.00,0.00
ANV132X2C081A,0.00,0.00
ANV153XT8006A,0.00,0.00
ANV153XT9064A,0.00,0.00
,0.00,0.00
,0.00,0.00
,0.00,0.00
AAB008YB2005A,0.00,0.00
AAB008YD4004A,0.00,0.00
AAB008YM2036A,0.00,0.00
AAB008YM2018A,213.49,0.00
AAB024MA6008A,0.00,0.00
AAB024MA5010A,0.00,0.00
AAB024MAA014A,0.00,0.00
AAB054NB2003A,0.00,0.00
AAB096EF3001A,0.00,0.00
AYZ096EF2003A,66.45,0.00
AGJ252X02001A,0.00,0.00
ENG,0.00,0.00
ENG,0.00,0.00
ENG,0.00,0.00
,0.00,0.00
,0.00,0.00
,0.00,0.00
AVF040YF4002A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008Y71001C,0.00,0.00
ANI008YZ1001D,0.00,0.00
ANI009YZ1001A,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI014OL1001C,0.00,0.00
ANI014OL1001C,0.00,0.00
ANI016OF2003A,0.00,0.00
ANI016OF2003A,0.00,0.00
ANI016OF2001B,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1005C,0.00,0.00
,0.00,0.00
,0.00,0.00
AAS008FG1037A,0.00,0.00
AAB008YQ3004A,0.00,0.00
,0.00,0.00
ABU048TP2003B,0.00,0.00
ABU054MF6004A,0.00,0.00
AGA056TH2006A,0.00,0.00
ABU096EF5001A,0.00,0.00
ACD054TA1007A,0.00,0.00
ACD054TN1003A,0.00,0.00
AAS008Y62012A,0.00,0.00
AAS084CC9004A,0.00,0.00
ASS153XT3001A,33.70,0.00
ASS153XT3003A,2.00,0.90
ABU054MF6001A,0.00,0.00
