ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time
BBR84,RAPID,RUNNING,R03MSAW04,2200,078ENMS009,AMS078EN1001A,22-01-14 20:43,22-01-14 06:03,MTI,FBGA-78UEN,3597,01/31/2022 MP,1091A06T21,,P53MSN307,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,245.2455,2022-01-14 20:43:07
BBR85,RAPID,RUNNING,R02AWCT08,2200,016D5AW011,AAW016D53004A,22-01-15 05:49,22-01-14 12:06,MXIC,SSLGA16DOU,1241,,,,R02AWCI12,SSLGA16DOU,MXIC,AAW016D53004A,1091A08T41,70.0106,2022-01-15 05:49:52
BBR86,RAPID,RUNNING,R03MSBC09,2200,078ENMS009,AMS078EN1001A,22-01-14 10:55,22-01-14 05:51,MTI,FBGA-78UEN,1226,,1091A06T21,,P53MSN602,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,245.2455,2022-01-14 10:55:11
BBR87,RAPID,RUNNING,R03MSAW05,2200,078ENMS009,AMS078EN1001A,22-01-14 20:20,22-01-14 05:42,MTI,FBGA-78UEN,3592,,1091A06T21,,P53MSNA01,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,245.2455,2022-01-14 20:20:51
BBR88,RAPID,RUNNING,R03MSBD01,2200,078ENMS009,AMS078EN1001A,22-01-15 02:42,22-01-14 12:01,MTI,FBGA-78UEN,3598,,1091A06T21,,R03MSB203,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,245.2455,2022-01-15 02:42:05
BBR89,RAPID,RUNNING,R03MSB302,2200,078ENMS009,AMS078EN1001A,22-01-14 21:40,22-01-14 07:10,MTI,FBGA-78UEN,3558,,1091A06T21,,P53MSMQ04,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,245.2455,2022-01-14 21:40:48
BBR90,RAPID,RUNNING,R03MSBB08,2200,078ENMS009,AMS078EN1001A,22-01-14 09:35,22-01-13 19:01,MTI,FBGA-78UEN,3574,,1091A06T21,,P53MSN408,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,245.2455,2022-01-14 09:35:48
BBR91,RAPID,IDLE,,,,AHQ0442J3003A,,22-01-14 02:18,,,,,,,R02HQAC15,FPSTLGA44tBV,EMC,AHQ0442J3003A,1091A06C41,328.6546,
BBR92,RAPID,IDLE,,,,AAW008Y62015A,,22-01-13 21:05,,,,,,,R02AWFT20,DFN-08Y62D,MXIC,AAW008Y62015A,1091A07T41,1084.8008,
BBR93,RAPID,ENG,,,,ACM088Y24001A,22-01-09 11:42,22-01-09 11:42,,,,,,,P82CMM901,SSQFN88Y23EW,ENG,ACM088Y24001A,1091A07C21,,
BBR94,RAPID,SETUP,,,,ANV132X2C034A,22-01-14 15:51,22-01-14 15:21,,,,,,,R02NVAE07,STBGA132G4VT,PHISON,ANV132X2C034A,1091A07C21,165.1566,
BBR95,RAPID,IDLE,,,,AAW008Y62015A,,22-01-14 00:15,,,,,,,R02AWFU01,DFN-08Y62D,MXIC,AAW008Y62015A,1091A07T41,1084.8008,
BBR96,RAPID,SETUP,,,,ANV132X2C034A,22-01-14 15:50,22-01-14 15:20,,,,,,,R02NVAB39,STBGA132G4VT,PHISON,ANV132X2C034A,1091A07C21,165.1566,
BBR97,RAPID,IDLE,,,,AAW008Y62015A,,22-01-13 22:56,,,,,,,R02AWFT22,DFN-08Y62D,MXIC,AAW008Y62015A,1091A07T41,1084.8008,
BBR98,RAPID,IDLE,,,,AAW008Y62015A,,22-01-13 18:27,,,,01/14/2022 MP,,,R02AWFT26,DFN-08Y62D,MXIC,AAW008Y62015A,1091A07T41,1084.8008,
BBR99,RAPID,ENG,,,,AQT192X85001B,22-01-12 06:09,22-01-12 06:09,,,,01/15/2022 MP,,,R80CMAQ01,STBGA192B4U,ENG,AQT192X85001B,1091C08TP2,73.1286,
BBRA1,RAPID,IDLE,,,,AAW008Y62015A,,22-01-13 20:35,,,,01/16/2022 MP,,,R02AWFT06,DFN-08Y62D,MXIC,AAW008Y62015A,1091A07T41,1084.8008,
BBRA2,RAPID,SETUP,,,,AHQ0442J3006A,22-01-14 15:53,22-01-14 15:23,,,,01/17/2022 MP,,,P53HQA4151,FPSTLGA44tBV,EMC,AHQ0442J3006A,1091A06C41,293.7876,
BBRA3,RAPID,IDLE,,,,AAW008Y62015A,,22-01-13 20:37,,,,01/18/2022 MP,,,R02AWFT21,DFN-08Y62D,MXIC,AAW008Y62015A,1091A07T41,1084.8008,
BBRA4,RAPID,RUNNING,R02HQAD07,3200,0442JHQ026,AHQ0442J3003A,22-01-14 19:30,22-01-14 10:36,EMC,FPSTLGA44tBV,2361,01/19/2022 MP,1091A06C41,,R02HQAC06,FPSTLGA44tBV,EMC,AHQ0442J3003A,1091A06C41,328.6546,2022-01-14 19:30:29
BBRA5,RAPID,RUNNING,R02HQAD02,3200,0442JHQ026,AHQ0442J3003A,22-01-14 19:38,22-01-14 10:37,EMC,FPSTLGA44tBV,2394,01/20/2022 MP,1091A06C41,,R02HQAC14,FPSTLGA44tBV,EMC,AHQ0442J3003A,1091A06C41,328.6546,2022-01-14 19:38:53
BBRA6,RAPID,IDLE,,,,AAW008Y62015A,,22-01-13 21:01,,,,01/21/2022 MP,,,R02AWFT13,DFN-08Y62D,MXIC,AAW008Y62015A,1091A07T41,1084.8008,
BBRA7,RAPID,ENG,,,,ANI020YU1005C,22-01-14 03:43,22-01-14 03:43,,,,01/23/2022 MP,,,R02NVAB38,STBGA132G4VT,PHISON,ANV132X2C034A,1091A07C21,733.4102,
BBRA8,RAPID,IDLE,,,,AAW008Y62014A,,22-01-13 05:29,,,,01/24/2022 MP,,,R02AWHI30,DFN-08Y62D,MXIC,AAW008Y62014A,1091A07T41,1343.9948,
BBRA9,RAPID,RUNNING,R03ABA303,2200,008YQAB090,AAB008YQ2039B,22-01-14 21:26,22-01-14 12:59,WINBOND,STDFN-08YQ2A,4320,01/25/2022 MP,1091A07T21,,R03ABA101,STDFN-08YQ2A,WINBOND,AAB008YQ2039B,1091A07T21,510.3266,2022-01-14 21:26:55
BBRB1,RAPID,ENG,,,,ANI020YU1005C,22-01-14 02:57,22-01-14 02:57,,,,01/26/2022 MP,,,R02NVAE01,STBGA132G4VT,PHISON,ANV132X2C034A,1091A07C21,733.4102,
BBRB2,RAPID,IN-REPAIR,R03ABA105,2200,008YQAB090,AAB008YQ2039B,22-01-14 13:28:50,22-01-14 14:35,WINBOND,STDFN-08YQ2A,4320,01/27/2022 MP,1091A07T21,,R03ABA201,STDFN-08YQ2A,WINBOND,AAB008YQ2039B,1091A07T21,510.3266,2022-01-14 13:28:50
BBRB3,RAPID,RUNNING,P53HQA203,2200,0225NHQ010,AHQ0225N1001A,22-01-14 18:30,22-01-14 09:18,EMC,FPSLGA22N6V,2680,01/23/2022 MP,1091A06C41,E,P53HQA202,FPSLGA22N6V,EMC,AHQ0225N1001A,1091A06C41,298.9671,2022-01-14 18:30:33
BBRB4,RAPID,RUNNING,R03ABA305,2200,008YQAB090,AAB008YQ2039B,22-01-14 21:25,22-01-14 12:57,WINBOND,STDFN-08YQ2A,4320,01/24/2022 MP,1091A07T21,,R03ABA106,STDFN-08YQ2A,WINBOND,AAB008YQ2039B,1091A07T21,510.3266,2022-01-14 21:25:12
BBRB5,RAPID,IDLE,,,,ANV132X2C034A,,22-01-12 03:06,,,,01/25/2022 MP,,,R02NVAE10,STBGA132G4VT,PHISON,ANV132X2C034A,1091A07C21,165.1566,
BBRB6,RAPID,ENG,,,,ANI020YU1005C,22-01-14 02:10,22-01-14 02:10,,,,01/26/2022 MP,,,R02NVAB29,STBGA132G4VT,PHISON,ANV132X2C034A,1091A07C21,733.4102,
BBRB7,RAPID,RUNNING,R03ABA301,2200,008YQAB090,AAB008YQ2039B,22-01-14 17:41,22-01-14 09:13,WINBOND,STDFN-08YQ2A,4320,01/27/2022 MP,1091A07T21,,R03ABA203,STDFN-08YQ2A,WINBOND,AAB008YQ2039B,1091A07T21,510.3266,2022-01-14 17:41:53
BBRB8,RAPID,RUNNING,R03ABAY07,2200,008YMAB068,AAB008YM2018A,22-01-14 19:29,22-01-14 09:21,WINBOND,DFN-08YM2D,16000,,1091A07T21,,R02NVAA36,STBGA132G4VT,PHISON,ANV132X2C034A,1091A07C21,1578.9041,2022-01-14 19:29:11
BBRB9,RAPID,RUNNING,R03ABA304,2200,008YQAB090,AAB008YQ2039B,22-01-14 21:21,22-01-14 12:54,WINBOND,STDFN-08YQ2A,4320,,1091A07T21,,R03ABA204,STDFN-08YQ2A,WINBOND,AAB008YQ2039B,1091A07T21,510.3266,2022-01-14 21:21:54
BBRC1,RAPID,IDLE,,,,ANV132X2C034A,,22-01-13 10:16,,,,,,,R02NVAB33,STBGA132G4VT,PHISON,ANV132X2C034A,1091A07C21,165.1566,
BBRC2,RAPID,RUNNING,R03ABA306,2200,008YQAB090,AAB008YQ2039B,22-01-14 21:37,22-01-14 13:09,WINBOND,STDFN-08YQ2A,4320,01/14/2022 AP,1091A07T21,,R02ABCG16,STDFN-08YQ2A,WINBOND,AAB008YQ2039B,1091A07T21,510.3266,2022-01-14 21:37:40
