pkg_type,process_id,version,detail_id,remark,
	T,	162KE032       ,	 D,	S22000102,	A0801CB0818(UTC)                        ,
	T,	162KE032       ,	 D,	S22000102,	A0803CB0818(KNS)                        ,
	T,	008YD134       ,	 B,	S22000102,	A0803CB1340(KNS)                        ,
	T,	008YQ157       ,	 J,	S22000102,	A0803CB1050(KNS)                        ,
	T,	096EL097       ,	 A,	S22000102,	A0801CB1331(UTC)                        ,
	T,	096EL097       ,	 A,	S22000102,	A0803CB1331(KNS)                        ,
	T,	063NW066       ,	 C,	S22000102,	A0801CB1232(UTC)                        ,
	T,	024MA150       ,	 H,	S22000102,	A0801CB1057(UTC)                        ,
	T,	024MA218       ,	 F,	S22000102,	A0801CB1057(UTC)                        ,
	T,	096EF048       ,	 H,	S22000102,	A0801CB1257(UTC)                        ,
	T,	060NR037       ,	 C,	S22000102,	A0801CB0745(UTC)                        ,
	T,	060NR037       ,	 C,	S22000102,	A0803CB0745(KNS)                        ,
	T,	096EL021       ,	 J,	S22000102,	A0801CB1102(UTC)                        ,
	T,	008YD128       ,	 D,	S22000102,	A0803CB1340(KNS)                        ,
	T,	008YM141       ,	 G,	S22000102,	A0803CB0832(KNS)                        ,
	T,	008DR049       ,	 C,	S22000102,	A0803CB1198(KNS)                        ,
	T,	084UC097       ,	 O,	S22000102,	A0803CB0785                             ,
	T,	096EL078       ,	 D,	S22000102,	A0803CB1240(KNS)                        ,
	T,	090NC081       ,	 G,	S22000102,	A0803CB0622                             ,
	T,	048TP323       ,	 B,	S22000102,	A0803CB1343(KNS)                        ,
	T,	084UC196       ,	 E,	S22000102,	A0803CB1313(KNS)                        ,
	T,	096EL009       ,	 I,	S22000102,	A0803CB1080(KNS)                        ,
	T,	067KQ001       ,	 C,	S22000102,	A0803CB1135(KNS)                        ,
	T,	162KE035       ,	 H,	S22000102,	A0803CB0818(KNS)                        ,
	T,	008Y6103       ,	 C,	S22000102,	A0803CB1233(KNS)                        ,
	T,	024XJ051       ,	 H,	S22000102,	A0801CB0871                             ,
	T,	024XJ051       ,	 H,	S32000102,	A0801CB0871(UTC)                        ,
	T,	024MA213       ,	 C,	S22000102,	A0801CB1057(UTC)                        ,
	T,	064MR023       ,	 H,	S22000102,	A0801CB0746(UTC)                        ,
	T,	064MR023       ,	 H,	S22000102,	A0803CB0746(KNS)                        ,
	T,	064MR024       ,	 E,	S22000102,	A0801CB0746(UTC)                        ,
	T,	008Y6090       ,	 I,	S22000102,	A0803CB0926(KNS)                        ,
	T,	008Y6087       ,	 G,	S22000102,	A0803CB0926(KNS)                        ,
	T,	096EF033       ,	 G,	S22000102,	A0801CB1087(UTC)                        ,
	T,	096EF033       ,	 G,	S22000102,	A0803CB1087(KNS)                        ,
	T,	048TP392       ,	 A,	S22000102,	A0801CB1352(UTC)                        ,
	T,	048TP392       ,	 A,	S22000102,	A0803CB1352(KNS)                        ,
	T,	060C3005       ,	AB,	S22000102,	A0801CB0417                             ,
	T,	144C7010       ,	 K,	S22000102,	A0801CB0877(UTC)                        ,
	T,	144C7010       ,	 K,	S22000102,	A0803CB0877(KNS)                        ,
	T,	144C7018       ,	 C,	S22000102,	A0801CB0877(UTC)                        ,
	T,	126CT002       ,	 H,	S22000102,	A0801CB0754                             ,
	T,	084CT004       ,	 J,	S22000102,	A0801CB0786                             ,
	T,	084CT004       ,	 J,	S22000102,	A0803CB0786                             ,
	T,	096EA004       ,	 I,	S22000102,	A0801CB1021                             ,
	T,	086TA127       ,	 E,	S22000102,	A0801CB0462(UTC)                        ,
	T,	054MF003       ,	 F,	S22000102,	A0801CB0248                             ,
	T,	072AF132       ,	 F,	S22000102,	A0803CB0424                             ,
	T,	056AD080       ,	 G,	S22000102,	A0803CB0346(KNS)                        ,
	T,	048AC124       ,	 D,	S22000102,	A0803CB0315(KNS)                        ,
	T,	084UC156       ,	 H,	S22000102,	A0801CB1043                             ,
	T,	048TR149       ,	 A,	S22000102,	A0801CB1192(UTC)                        ,
	T,	048TR149       ,	 A,	S22000102,	A0803CB1192(KNS)                        ,
	T,	048MA358       ,	 C,	S22000102,	A0803CB1097(KNS)                        ,
	T,	048TR148       ,	 B,	S22000102,	A0801CB1192(UTC)                        ,
	T,	252X2008       ,	 E,	S22000102,	A0803CB1176(KNS)                        ,
	T,	252X2008       ,	 E,	S32000102,	A0803CB1176(KNS)                        ,
	T,	252X0003       ,	 C,	S22000102,	A0801CB1176(UTC)                        ,
	T,	252X0003       ,	 C,	S22000102,	A0803CB1176(KNS)                        ,
	T,	252X0003       ,	 C,	S32000102,	A0801CB1176(UTC)                        ,
