ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER,ent_weight
BB805,MAXUM,RUNNING,R20YZA404,2200.0,066TSYZ002,AYZ066TS1001A,22-05-17 17:13,22-05-17 03:51,ZJP,TSOP2-66CME,2880.0,05/31/2022 MP,0,0,R18TEAM06,TSOP2-66CME,ZCN,ATE066TS1001A,1091G08PA4,215.55,22-05-17 17:13,2200,20349.142857142855
BB806,MAXUM,WAIT-SETUP,0,0.0,0,AAB008YD4003A,0,22-05-17 07:23,0,0,0.0,0,0,0,R20ASB312,DFN-08YQ2AW,EliteMT,AAS008YQ2013A,1091G08PA4,1214.0844,0,2200,0.0
BB807,MAXUM,RUNNING,R19ASAL09,2200.0,162KEAS010,AAS162KE1008A,22-05-17 11:35,22-05-16 15:23,EliteMT,STBGA162B4U,1852.0,0,0,0,R19ASAK05,STBGA162B4U,EliteMT,AAS162KE1008A,1091G08PA4,91.8472,22-05-17 11:35,2200,21692.95238095238
BB808,MAXUM,RUNNING,R20ASAD06,2200.0,162KEAS010,AAS162KE1008A,22-05-17 15:48,22-05-16 04:36,EliteMT,STBGA162B4U,3233.0,0,1091G08PA4,4,R19ASAK03,STBGA162B4U,EliteMT,AAS162KE1008A,1091G08PA4,91.8472,22-05-17 15:48,2200,21692.95238095238
BB809,MAXUM,RUNNING,R20ASAD01,2200.0,162KEAS010,AAS162KE1008A,22-05-18 17:09,22-05-17 04:47,EliteMT,STBGA162B4U,3340.0,0,1091G08PA4,4,R19ASAK09,STBGA162B4U,EliteMT,AAS162KE1008A,1091G08PA4,91.8472,22-05-18 17:09,2200,21692.95238095238
BB810,MAXUM,RUNNING,R20YZA101,2200.0,066TSYZ002,AYZ066TS1001A,22-05-17 06:58,22-05-16 17:37,ZJP,TSOP2-66CME,2880.0,0,0,0,R20YZA303,TSOP2-66CME,ZJP,AYZ066TS1001A,1091G08PA4,215.55,22-05-17 06:58,2200,20349.142857142855
BB811,MAXUM,RUNNING,R20ABAG05,2200.0,008YQAB114,AAB008YQ3021A,22-05-17 07:38,22-05-16 20:14,WINBOND,STDFN08YQ3AW,5600.0,0,1091A08T21,0,R20ABAG03,STDFN08YQ3AW,WINBOND,AAB008YQ3021A,1091A08T21,491.3119,22-05-17 07:38,2200,61040.380952380954
BB812,MAXUM,RUNNING,R20YZA405,2200.0,066TSYZ002,AYZ066TS1001A,22-05-17 12:48,22-05-16 23:27,ZJP,TSOP2-66CME,2880.0,0,0,0,R19MSJW08,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,215.55,22-05-17 12:48,2200,20349.142857142855
BB813,MAXUM,RUNNING,R19ASAL07,2200.0,162KEAS010,AAS162KE1008A,22-05-17 23:02,22-05-16 12:40,EliteMT,STBGA162B4U,3157.0,0,0,0,R19ASAJ05,STBGA162B4U,EliteMT,AAS162KE1008A,1091G08PA4,91.8472,22-05-17 23:02,2200,21692.95238095238
BB814,MAXUM,RUNNING,R17ASBR07,2200.0,096ELAS044,AAS096EL1016A,22-05-17 17:55,22-05-16 22:39,EliteMT,FBGA-96UEL-3,2940.0,0,1091G08PA4,0,R18TEAM10,TSOP2-66CME,ZCN,ATE066TS1001A,1091G08PA4,152.6264,22-05-17 17:55,2200,7803.732026143791
BB815,MAXUM,RUNNING,R20MSEY09,2200.0,078ENMS009,AMS078EN1001A,22-05-17 12:42,22-05-17 02:49,MTI,FBGA-78UEN,2354.0,0,1091A06T21,0,R20MSDC05,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,238.8984,22-05-17 12:42,2200,87283.96666666667
BB816,MAXUM,RUNNING,R20ASBM01,2200.0,096ELAS043,AAS096EL1009B,22-05-17 07:48,22-05-17 01:23,EliteMT,FBGA-96UEL,931.0,0,0,0,R20ASAI07,FBGA-96UEL,EliteMT,AAS096EL1009B,1091G08PA4,146.181,22-05-17 07:48,2200,1870.9281045751634
BB817,MAXUM,RUNNING,R20ASAI03,2200.0,096ELAS043,AAS096EL1009B,22-05-17 08:12,22-05-16 11:43,EliteMT,FBGA-96UEL,2993.0,0,1091G08PA4,0,R20ASA809,FBGA-96UEL,EliteMT,AAS096EL1009B,1091G08PA4,146.181,22-05-17 08:12,2200,1870.9281045751634
BB818,MAXUM,RUNNING,R19ASAL01,2200.0,162KEAS010,AAS162KE1008A,22-05-17 13:05,22-05-16 01:45,EliteMT,STBGA162B4U,3245.0,0,0,0,R19ASAJ04,STBGA162B4U,EliteMT,AAS162KE1008A,1091G08PA4,91.8472,22-05-17 13:05,2200,21692.95238095238
BB819,MAXUM,RUNNING,R20BWD410,2200.0,048ACBW048,ABW048AC1012A,22-05-17 15:08,22-05-17 04:43,AKM,QFN-48AC1,2800.0,0,1091A10C41,0,R20BWD413,QFN-48AC1,AKM,ABW048AC1012A,1091A10C41,268.7642,22-05-17 15:08,2200,3405.6833333333334
BB821,MAXUM,PM,0,0.0,0,AYZ066TS1001A,22-05-17 15:32,22-05-17 07:32,0,0,0.0,05/17/2022 SP,0,0,R20YZA309,TSOP2-66CME,ZJP,AYZ066TS1001A,1091G08PA4,215.55,0,2200,0.0
BB822,MAXUM,RUNNING,R20ABQ309,2200.0,008YQAB104,AAB008YQ3004A,22-05-17 16:42,22-05-17 04:09,WINBOND,STDFN08YQ3AW,5600.0,05/18/2022 SP,1091A07T21,0,R20ABQ216,STDFN08YQ3AW,WINBOND,AAB008YQ3004A,1091A07T21,446.2448,22-05-17 16:42,2200,28307.809523809523
BB823,MAXUM,RUNNING,R20ABAB01,2200.0,008YDAB023,AAB008YD2009A,22-05-17 11:37,22-05-17 04:29,WINBOND,STDFN-08YD2A,3520.0,05/19/2022 SP,1091A07T21,0,R20VGBA04,DFN-08YQ2A,ISSI-VG,ABU008YQ2001A,1091A07C41,492.3957,22-05-17 11:37,2200,23508.666666666664
BB824,MAXUM,WAIT-REPAIR,R20ASAC01,2200.0,096ELAS043,AAS096EL1009B,22-05-17 01:56:13,22-05-17 07:41,EliteMT,FBGA-96UEL,411.0,05/20/2022 SP,0,0,R20ASAS01,FBGA-96UEL,EliteMT,AAS096EL1009B,1091G08PA4,146.181,22-05-17 01:56,2200,1870.9281045751634
BB825,MAXUM,RUNNING,R20MSEV05,2200.0,078ENMS009,AMS078EN1001A,22-05-17 10:00,22-05-16 19:00,MTI,FBGA-78UEN,3580.0,05/21/2022 SP,1091A06T21,0,R20MSD703,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,238.8984,22-05-17 10:00,2200,87283.96666666667
BB826,MAXUM,RUNNING,R20MSEY03,2200.0,078ENMS009,AMS078EN1001A,22-05-17 15:31,22-05-17 00:32,MTI,FBGA-78UEN,3580.0,05/22/2022 SP,1091A06T21,0,R20MSDB07,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,238.8984,22-05-17 15:31,2200,87283.96666666667
BB827,MAXUM,RUNNING,R20ASBP01,2200.0,096ELAS043,AAS096EL1009B,22-05-17 08:02,22-05-17 07:46,EliteMT,FBGA-96UEL,26.0,05/23/2022 SP,0,0,R20ASBK01,FBGA-96UEL,EliteMT,AAS096EL1009B,1091G08PA4,146.181,22-05-17 08:02,2200,1870.9281045751634
BB828,MAXUM,RUNNING,R20AWBZ02,2200.0,008YMAW023,AAW008YM2007A,22-05-17 12:21,22-05-16 23:14,MXIC,DFN-08YM2D,16000.0,05/24/2022 SP,1091A07T41,0,R20AWBZ04,DFN-08YM2D,MXIC,AAW008YM2007A,1091A07T41,1220.3131,22-05-17 12:21,2200,9966.55238095238
BB831,MAXUM,RUNNING,R20ABQ310,2200.0,008YQAB104,AAB008YQ3004A,22-05-17 16:52,22-05-17 04:26,WINBOND,STDFN08YQ3AW,5546.0,05/27/2022 SP,1091A07T21,0,R20ABQ303,STDFN08YQ3AW,WINBOND,AAB008YQ3004A,1091A07T21,446.2448,22-05-17 16:52,2200,28307.809523809523
BB832,MAXUM,RUNNING,R20ABQ302,2200.0,008YQAB104,AAB008YQ3004A,22-05-17 13:17,22-05-17 00:44,WINBOND,STDFN08YQ3AW,5600.0,05/28/2022 SP,1091A07T21,0,R20ABQ213,STDFN08YQ3AW,WINBOND,AAB008YQ3004A,1091A07T21,446.2448,22-05-17 13:17,2200,28307.809523809523
BB833,MAXUM,RUNNING,R20ASBI01,2200.0,096ELAS043,AAS096EL1009B,22-05-17 05:37,22-05-16 22:47,EliteMT,FBGA-96UEL,990.0,05/29/2022 SP,0,0,R20ASAI05,FBGA-96UEL,EliteMT,AAS096EL1009B,1091G08PA4,146.181,0,2200,1870.9281045751634
BB834,MAXUM,RUNNING,R20ABAG07,2200.0,008YQAB114,AAB008YQ3021A,22-05-17 10:04,22-05-16 22:40,WINBOND,STDFN08YQ3AW,5600.0,05/30/2022 SP,1091A08T21,0,R20ABAG04,STDFN08YQ3AW,WINBOND,AAB008YQ3021A,1091A08T21,491.3119,22-05-17 10:04,2200,61040.380952380954
BB835,MAXUM,RUNNING,R20ABAE02,2200.0,008YDAB031,AAB008YD4004A,22-05-17 22:12,22-05-17 01:32,WINBOND,STDFN08YD4AW,8059.0,05/31/2022 SP,0,0,R20ABAD06,STDFN08YD4AW,WINBOND,AAB008YD4004A,1091A07T21,390.2356,22-05-17 22:12,2200,29780.333333333332
BB836,MAXUM,RUNNING,R20ASAI08,2200.0,096ELAS043,AAS096EL1009B,22-05-17 05:07,22-05-16 08:52,EliteMT,FBGA-96UEL,2960.0,0,1091G08PA4,0,R20ASA802,FBGA-96UEL,EliteMT,AAS096EL1009B,1091G08PA4,146.181,22-05-17 05:07,2200,1870.9281045751634
