,bd_id,oper,Location,Output plan,Original ENT(07:30),Original ENT(11:00),Allocate ENT
267,ANV345XTB026A,0,TA-3,0.0,0.0,1.0,0.0
268,AAB008YB2007A,2200,TB-P,0.0,0.0,0.0,1.0
269,AAB008YB2007A,2200,TB-U,0.0,0.0,0.0,1.5
270,AAB060EM2002A,2200,TA-2,0.0,0.0,0.0,2.0
271,AAS162KE1008A,2200,TB-U,0.0,0.0,0.0,5.5
272,AB054NB2002A,2200,TA-1,0.0,0.0,0.0,0.5
273,AMS078C93001B,2200,TA-2,0.0,0.0,0.0,2.0
274,AMS078EN1001A,2200,TA-2,0.0,0.0,0.0,13.0
275,AMS096EC1002A,2200,TA-1,0.0,0.0,0.0,2.0
276,AMS096EC1002A,2200,TA-2,0.0,0.0,0.0,5.0
277,AMS096EC1002A,2200,TA-3,0.0,0.0,0.0,2.0
278,AMS096EF2001A,2200,TA-3,0.0,0.0,0.0,1.0
279,ANV132X2C044A,2200,TA-2,0.0,0.0,0.0,0.5
280,AYZ084CC2003A,2200,TA-2,0.0,0.0,0.0,1.3333333333333333
