,Unnamed: 0,bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time,start_time_trans,end_time_trans,CR,start_time_adj,end_time_adj
563,563,AAS096EL1002A,AAB008YB2007A,6926.604527,BB925,"CWN,SC",R11ASAI02,R11ABG519,BB925_6,6806.604527,2022-03-19 01:31:36,2022-03-19 03:31:36,7065.4400000000005,2022-03-19 01:31:36,2022-03-19 03:31:36
564,564,AAB008YB2007A,AAB008YQ2032A,7772.533769,BB925,"CWN,SC",R11ABG521,R11ABB915,BB925_8,7652.533769,2022-03-19 15:37:32,2022-03-19 17:37:32,7065.64,2022-03-19 15:37:32,2022-03-19 17:37:32
565,565,ABW032YB1005B,AAS008FG1011A,120.0,BB926,"CWN,SC",,R11ASA215,BB926_1,0.0,2022-03-14 08:05:00,2022-03-14 10:05:00,7065.9800000000005,2022-03-14 08:05:00,2022-03-14 10:05:00
566,566,AAS008FG1011A,ABW036AB1004A,3389.215758,BB926,"CWN,SC",R11ASAQ02,R11BWAH23,BB926_3,3269.215758,2022-03-16 14:34:12,2022-03-16 16:34:12,7065.26,2022-03-16 14:34:12,2022-03-16 16:34:12
567,567,ABW036AB1004A,AAB008YQ2032A,4358.0027,BB926,"CWN,SC",R11BWAH23,R11ABBF17,BB926_4,4238.0027,2022-03-17 06:43:00,2022-03-17 08:43:00,7065.64,2022-03-17 06:43:00,2022-03-17 08:43:00
568,568,AAB008YQ2032A,AAS063NW3012A,5251.321692,BB926,"CWN,SC",R11ABBB20,R11ASBZ02,BB926_9,5131.321692,2022-03-17 21:36:19,2022-03-17 23:36:19,7118.39,2022-03-17 21:36:19,2022-03-17 23:36:19
569,569,AAS063NW3012A,AAB008YQ2032A,7640.23611,BB926,"CWN,SC",R11ASBZ03,R11ABBD21,BB926_11,7520.23611,2022-03-19 13:25:14,2022-03-19 15:25:14,7065.64,2022-03-19 13:25:14,2022-03-19 15:25:14
570,570,ABW052AC1005A,AAS084CC9004A,120.0,BB930,"CWN,SC",,R11ASDK12,BB930_1,0.0,2022-03-14 08:05:00,2022-03-14 10:05:00,7065.4400000000005,2022-03-14 08:05:00,2022-03-14 10:05:00
571,571,AAS084CC9004A,AAS096EL1002A,3750.633479,BB930,"CWN,SC",R11ASDK12,R11ASAI06,BB930_2,3630.633479,2022-03-16 20:35:38,2022-03-16 22:35:38,7065.75,2022-03-16 20:35:38,2022-03-16 22:35:38
572,572,AAS096EL1002A,AAB008YQ2032A,5180.904362,BB930,"CWN,SC",R11ASAI06,R11ABB906,BB930_3,5060.904362,2022-03-17 20:25:54,2022-03-17 22:25:54,7065.64,2022-03-17 20:25:54,2022-03-17 22:25:54
573,573,AAB008YQ2032A,AAS063NW3012A,6074.223354,BB930,"CWN,SC",R11ABB912,R11ASBZ06,BB930_8,5954.223354,2022-03-18 11:19:13,2022-03-18 13:19:13,7066.650000000001,2022-03-18 11:19:13,2022-03-18 13:19:13
