ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM
BB603,UTC1000S,RUNNING,R02AWH205,2200,048TPAW054,AAW048TP1026E,22-01-12 09:18,22-01-12 03:36,MXIC,TSOP1-48/48M,2160,01/30/2022 MP
BB604,UTC1000S,RUNNING,P53ABAV04,2200,178NNAB002,AAB178NN2001A,22-01-12 20:40,22-01-12 03:40,WINBOND,VFBGA178JEU,2256,01/31/2022 MP
BB605,UTC1000S,RUNNING,R02ABN405,2200,096ELAB016,AAB096EL1003A,22-01-13 01:57,22-01-12 01:16,WINBOND,FBGA96UEL(2),6000,
BB606,UTC1000S,RUNNING,P53ABAV05,2200,178NNAB002,AAB178NN2001A,22-01-12 17:48,22-01-12 00:10,WINBOND,VFBGA178JEU,2340,
BB607,UTC1000S,RUNNING,R02ABN304,2200,096ELAB016,AAB096EL1003A,22-01-12 09:32,22-01-11 09:10,WINBOND,FBGA96UEL(2),5920,
BB608,UTC1000S,RUNNING,R02MSFS15,2200,048TWMS067,AMS048TW1057A,22-01-12 10:56,22-01-12 04:57,MTI,TSOP1-48AM,2160,
BB609,UTC1000S,IDLE,,,,AMS096EC3001B,,22-01-11 10:36,,,,
BB610,UTC1000S,WAIT-REPAIR,P53ABAV06,2200,178NNAB002,AAB178NN2001A,22-01-12 18:12:23,22-01-12 06:29,WINBOND,VFBGA178JEU,2340,
BB611,UTC1000S,RUNNING,R02ABN501,2200,096ELAB016,AAB096EL1003A,22-01-13 03:44,22-01-12 03:29,WINBOND,FBGA96UEL(2),5895,
BB612,UTC1000S,RUNNING,P53ABAV08,2200,178NNAB002,AAB178NN2001A,22-01-12 17:24,22-01-12 00:22,WINBOND,VFBGA178JEU,2260,
BB613,UTC1000S,RUNNING,P53ABAV01,2200,178NNAB002,AAB178NN2001A,22-01-12 15:57,22-01-12 00:14,WINBOND,VFBGA178JEU,2085,
BB614,UTC1000S,RUNNING,R02ABK901,2200,060EMAB004,AAB060EM2001A,22-01-12 10:19,22-01-11 09:13,WINBOND,FBGA60UEM2-1,7760,
